ID,Name,Address,City,State,Zip,Phone,Email,Website,Latitude,Longitude,Description,Rating,ReviewCount,VanTypes,PriceMin,PriceMax,Amenities,Services,Certifications,YearsInBusiness,LeadTime
ga-2,Peach State Van Works,456 River St,Savannah,GA,31401,(555) 222-3333,info@peachstatevanworks.com,https://peachstatevanworks.com,32.0809,-81.0912,"Offers custom van conversions, including camper vans, wheelchair-accessible vehicles, and commercial vans.",4.5,68,"Transit,ProMaster",30000,95000,"Solar Power,Kitchen,Air Conditioning,Heating","Custom Builds,Accessibility Modifications,Electrical,Plumbing","RVIA Certified,ADA Compliant",5,2-6 months
ga-3,VanCraft Georgia,789 Broad St,Augusta,GA,30901,(555) 333-4444,info@vancraftga.com,https://vancraftga.com,33.4735,-81.9748,"Specializes in custom van conversions, including Mercedes Sprinter, Ford Transit, and Ram ProMaster, with a focus on luxury and adventure vans.",4.8,82,"Sprinter,Transit,ProMaster",40000,125000,"Solar Power,Kitchen,Bathroom,Air Conditioning,Heating,Luxury Finishes","Custom Builds,Luxury Interiors,Electrical,Plumbing,Adventure Outfitting","RVIA Certified,ASE Certified",7,3-8 months
hi-1,Hawaii Van Conversions,123 Ala Moana Blvd,Honolulu,HI,96813,(555) 111-2222,info@hawaiivanconversions.com,https://hawaiivanconversions.com,21.3069,-157.8583,"Specializes in custom van conversions, including Mercedes Sprinter, Ford Transit, and Ram ProMaster.",4.7,72,"Sprinter,Transit,ProMaster",38000,115000,"Solar Power,Kitchen,Outdoor Shower,Air Conditioning","Custom Builds,Electrical,Plumbing,Climate Control","RVIA Certified",6,3-7 months
hi-2,Island Van Works,456 Kaahumanu Ave,Kahului,HI,96732,(555) 222-3333,info@islandvanworks.com,https://islandvanworks.com,20.8893,-156.4729,"Offers custom van conversions, including camper vans, wheelchair-accessible vehicles, and commercial vans.",4.6,65,"Transit,ProMaster",32000,100000,"Solar Power,Kitchen,Outdoor Shower,Air Conditioning","Custom Builds,Accessibility Modifications,Electrical,Plumbing","RVIA Certified,ADA Compliant",5,2-6 months
id-1,Idaho Van Conversions,123 Capitol Blvd,Boise,ID,83702,(555) 111-2222,info@idahovanconversions.com,https://idahovanconversions.com,43.6150,-116.2023,"Provides custom van conversions, including luxury vans, wheelchair-accessible vehicles, and commercial vans.",4.6,70,"Sprinter,Transit,ProMaster",34000,105000,"Solar Power,Kitchen,Bathroom,Heating,Off-Grid Systems","Custom Builds,Electrical,Plumbing,Off-Road Outfitting","RVIA Certified",6,3-7 months
id-2,Mountain Van Works,456 Sherman Ave,Coeur d'Alene,ID,83814,(555) 222-3333,info@mountainvanworks.com,https://mountainvanworks.com,47.6777,-116.7804,"Offers custom van conversions, including camper vans, wheelchair-accessible vehicles, and commercial vans.",4.7,75,"Transit,ProMaster,Sprinter",36000,110000,"Solar Power,Kitchen,Bathroom,Heating,Off-Grid Systems,Winter Insulation","Custom Builds,Off-Road Outfitting,Electrical,Plumbing,Winter Outfitting","RVIA Certified,ASE Certified",7,3-8 months
il-1,Illinois Van Conversions,123 Michigan Ave,Chicago,IL,60601,(555) 111-2222,info@illinoisvanconversions.com,https://illinoisvanconversions.com,41.8781,-87.6298,"Specializes in custom van conversions, including Mercedes Sprinter, Ford Transit, and Ram ProMaster.",4.6,78,"Sprinter,Transit,ProMaster",36000,110000,"Solar Power,Kitchen,Bathroom,Heating,Winter Insulation","Custom Builds,Electrical,Plumbing,Winter Outfitting","RVIA Certified",7,3-7 months
il-2,Midwest Van Works,456 Capitol Ave,Springfield,IL,62701,(555) 222-3333,info@midwestvanworks.com,https://midwestvanworks.com,39.7817,-89.6501,"Offers custom van conversions, including camper vans, wheelchair-accessible vehicles, and commercial vans.",4.5,65,"Transit,ProMaster",30000,95000,"Solar Power,Kitchen,Heating,Winter Insulation","Custom Builds,Accessibility Modifications,Electrical,Plumbing","RVIA Certified,ADA Compliant",5,2-6 months
il-3,VanCraft Illinois,789 State St,Rockford,IL,61104,(555) 333-4444,info@vancraftil.com,https://vancraftil.com,42.2711,-89.0940,"Specializes in custom van conversions, including Mercedes Sprinter, Ford Transit, and Ram ProMaster, with a focus on luxury and adventure vans.",4.8,82,"Sprinter,Transit,ProMaster",42000,125000,"Solar Power,Kitchen,Bathroom,Heating,Winter Insulation,Luxury Finishes","Custom Builds,Luxury Interiors,Electrical,Plumbing,Winter Outfitting","RVIA Certified,ASE Certified",8,3-8 months
in-1,Indiana Van Conversions,123 Capitol Ave,Indianapolis,IN,46204,(555) 111-2222,info@indianavanconversions.com,https://indianavanconversions.com,39.7684,-86.1581,"Provides custom van conversions, including luxury vans, wheelchair-accessible vehicles, and commercial vans.",4.6,72,"Sprinter,Transit,ProMaster",34000,105000,"Solar Power,Kitchen,Bathroom,Heating,Winter Insulation","Custom Builds,Electrical,Plumbing,Winter Outfitting","RVIA Certified",6,3-7 months
in-2,Hoosier Van Works,456 Main St,Fort Wayne,IN,46802,(555) 222-3333,info@hoosiervanworks.com,https://hoosiervanworks.com,41.0793,-85.1394,"Offers custom van conversions, including camper vans, wheelchair-accessible vehicles, and commercial vans.",4.5,65,"Transit,ProMaster",30000,95000,"Solar Power,Kitchen,Heating,Winter Insulation","Custom Builds,Accessibility Modifications,Electrical,Plumbing","RVIA Certified,ADA Compliant",5,2-6 months
in-3,VanCraft Indiana,789 Michigan St,South Bend,IN,46601,(555) 333-4444,info@vancraftin.com,https://vancraftin.com,41.6764,-86.2520,"Specializes in custom van conversions, including Mercedes Sprinter, Ford Transit, and Ram ProMaster, with a focus on luxury and adventure vans.",4.8,80,"Sprinter,Transit,ProMaster",40000,120000,"Solar Power,Kitchen,Bathroom,Heating,Winter Insulation,Luxury Finishes","Custom Builds,Luxury Interiors,Electrical,Plumbing,Winter Outfitting","RVIA Certified,ASE Certified",7,3-8 months
ia-1,Iowa Van Conversions,123 Grand Ave,Des Moines,IA,50309,(555) 111-2222,info@iowavanconversions.com,https://iowavanconversions.com,41.5868,-93.6250,"Specializes in custom van conversions, including Mercedes Sprinter, Ford Transit, and Ram ProMaster.",4.5,68,"Sprinter,Transit,ProMaster",32000,100000,"Solar Power,Kitchen,Bathroom,Heating,Winter Insulation","Custom Builds,Electrical,Plumbing,Winter Outfitting","RVIA Certified",6,2-6 months
ia-2,Hawkeye Van Works,456 1st Ave,Cedar Rapids,IA,52401,(555) 222-3333,info@hawkeyevanworks.com,https://hawkeyevanworks.com,41.9779,-91.6656,"Offers custom van conversions, including camper vans, wheelchair-accessible vehicles, and commercial vans.",4.6,70,"Transit,ProMaster",28000,90000,"Solar Power,Kitchen,Heating,Winter Insulation","Custom Builds,Accessibility Modifications,Electrical,Plumbing","RVIA Certified,ADA Compliant",5,2-5 months
nj-1,VanDoIt,123 Main St,Lakewood,NJ,08701,(555) 123-4567,info@vandoit.com,https://vandoit.com,40.0759,-74.2221,"Specializes in custom van conversions, including Mercedes Sprinter, Ford Transit, and Ram ProMaster.",4.7,85,"Sprinter,Transit,ProMaster",35000,95000,"Solar Power,Kitchen,Bathroom,Heating","Custom Builds,Mechanical Work,Electrical,Plumbing","RVIA Certified",6,3-5 months
nj-2,New Jersey Van Conversions,456 Ocean Ave,Toms River,NJ,08753,(555) 234-5678,info@njvanconversions.com,https://njvanconversions.com,39.9537,-74.1979,"Offers custom van conversions, including wheelchair-accessible vehicles and luxury vans.",4.5,62,"Transit,ProMaster",30000,85000,"Solar Power,Kitchen,Wheelchair Access","Custom Builds,Accessibility Modifications,Electrical","ADA Compliant,RVIA Certified",8,2-4 months
nj-3,East Coast Van Conversions,789 Main St,Freehold,NJ,07728,(555) 345-6789,info@eastcoastvanconversions.com,https://eastcoastvanconversions.com,40.2599,-74.2774,"Provides custom van conversions, including camper vans, wheelchair-accessible vehicles, and commercial vans.",4.6,73,"Sprinter,Transit,ProMaster",32000,90000,"Solar Power,Kitchen,Bathroom,Heating","Custom Builds,Commercial Upfitting,Electrical,Plumbing","RVIA Certified,ASE Certified",7,3-6 months
nj-4,VanCraft,101 Hamilton Ave,Hamilton,NJ,08619,(555) 456-7890,info@vancraft.com,https://vancraft.com,40.2088,-74.6782,"Specializes in custom van conversions, including Mercedes Sprinter, Ford Transit, and Ram ProMaster, with a focus on luxury and adventure vans.",4.8,91,"Sprinter,Transit,ProMaster",40000,120000,"Solar Power,Kitchen,Bathroom,Heating,Air Conditioning,Off-Grid Systems","Custom Builds,Luxury Interiors,Electrical,Plumbing","RVIA Certified,ASE Certified",5,4-7 months
nj-5,Jersey Van Works,202 Main St,Somerville,NJ,08876,(555) 567-8901,info@jerseyvanworks.com,https://jerseyvanworks.com,40.5734,-74.6282,"Offers custom van conversions, including camper vans, wheelchair-accessible vehicles, and commercial vans.",4.4,58,"Transit,ProMaster",28000,80000,"Solar Power,Kitchen,Heating","Custom Builds,Commercial Upfitting,Electrical","RVIA Certified",4,2-5 months
nj-6,Custom Van Solutions,303 Mount Holly Rd,Mount Holly,NJ,08060,(555) 678-9012,info@customvansolutions.com,https://customvansolutions.com,40.0026,-74.7874,"Provides custom van conversions, including luxury vans, wheelchair-accessible vehicles, and commercial vans.",4.5,67,"Sprinter,Transit",38000,110000,"Solar Power,Kitchen,Bathroom,Heating,Luxury Finishes","Custom Builds,Luxury Interiors,Electrical,Plumbing","RVIA Certified",6,3-6 months
nj-7,Van Conversion Specialists,404 Main St,Vineland,NJ,08360,(555) 789-0123,info@vanconversionspecialists.com,https://vanconversionspecialists.com,39.4863,-74.9982,"Specializes in custom van conversions, including Mercedes Sprinter, Ford Transit, and Ram ProMaster, with a focus on luxury and adventure vans.",4.7,79,"Sprinter,Transit,ProMaster",36000,105000,"Solar Power,Kitchen,Bathroom,Heating,Air Conditioning","Custom Builds,Adventure Outfitting,Electrical,Plumbing","RVIA Certified,ASE Certified",5,3-7 months
nj-8,NJ Van Conversions,505 Main St,Edison,NJ,08837,(555) 890-1234,info@njvanconversions.net,https://njvanconversions.net,40.5187,-74.4121,"Offers custom van conversions, including camper vans, wheelchair-accessible vehicles, and commercial vans.",4.3,51,"Transit,ProMaster",25000,75000,"Solar Power,Basic Kitchen,Heating","Custom Builds,Commercial Upfitting,Electrical","RVIA Certified",3,2-4 months
nj-9,Liberty Van Conversions,606 Main St,Marlton,NJ,08053,(555) 901-2345,info@libertyvanconversions.com,https://libertyvanconversions.com,39.8912,-74.9218,"Provides custom van conversions, including luxury vans, wheelchair-accessible vehicles, and commercial vans.",4.6,72,"Sprinter,Transit",35000,100000,"Solar Power,Kitchen,Bathroom,Heating,Luxury Finishes","Custom Builds,Luxury Interiors,Electrical,Plumbing","RVIA Certified",7,3-6 months
nj-10,Garden State Van Conversions,707 State St,Trenton,NJ,08608,(555) 012-3456,info@gardenstatevans.com,https://gardenstatevans.com,40.2206,-74.7597,"Specializes in custom van conversions, including Mercedes Sprinter, Ford Transit, and Ram ProMaster, with a focus on luxury and adventure vans.",4.7,83,"Sprinter,Transit,ProMaster",38000,115000,"Solar Power,Kitchen,Bathroom,Heating,Air Conditioning,Off-Grid Systems","Custom Builds,Adventure Outfitting,Electrical,Plumbing","RVIA Certified,ASE Certified",6,4-8 months
nj-11,Humble Road LLC,123 Humble Rd,Princeton,NJ,08540,(555) 123-7890,info@humbleroad.com,https://humbleroad.com,40.3573,-74.6672,"Offers custom van conversions, including camper van builds, adventure van builds, luxury van conversions, and wheelchair-accessible van conversions, with a focus on creating unique and functional vans for outdoor enthusiasts.",4.9,95,"Sprinter,Transit,ProMaster",45000,130000,"Solar Power,Kitchen,Bathroom,Heating,Air Conditioning,Off-Grid Systems,Custom Storage","Custom Builds,Luxury Interiors,Electrical,Plumbing,Design Services","RVIA Certified,ASE Certified",8,4-8 months
nj-12,Ready.Set.Van,456 Ready Ave,Montclair,NJ,07042,(555) 234-8901,info@readysetvan.com,https://readysetvan.com,40.8259,-74.2090,"Specializes in custom van conversions, including camper van builds, adventure van builds, luxury van conversions, and custom interior design and fabrication, with a focus on creating unique and functional vans for adventure and outdoor enthusiasts.",4.8,88,"Sprinter,Transit",50000,140000,"Solar Power,Kitchen,Bathroom,Heating,Air Conditioning,Off-Grid Systems,Smart Home Integration","Custom Builds,Luxury Interiors,Electrical,Plumbing,Smart Systems","RVIA Certified,ASE Certified",7,5-9 months
nj-13,Sequoia + Salt,789 Sequoia Dr,Morristown,NJ,07960,(555) 345-9012,info@sequoiasalt.com,https://sequoiasalt.com,40.7968,-74.4773,"Offers custom van conversions, including camper van builds, adventure van builds, luxury van conversions, and off-grid and solar-powered van conversions, with a focus on creating unique and functional vans for outdoor enthusiasts.",4.9,92,"Sprinter,Transit,ProMaster",48000,135000,"Solar Power,Kitchen,Bathroom,Heating,Air Conditioning,Off-Grid Systems,Sustainable Materials","Custom Builds,Sustainable Design,Electrical,Plumbing,Solar Systems","RVIA Certified,LEED Certified",6,4-8 months
ks-1,Kansas Van Conversions,123 Kansas Ave,Topeka,KS,66603,(555) 111-2222,info@kansasvanconversions.com,https://kansasvanconversions.com,39.0473,-95.6752,"Provides custom van conversions, including luxury vans, wheelchair-accessible vehicles, and commercial vans.",4.5,65,"Sprinter,Transit,ProMaster",32000,100000,"Solar Power,Kitchen,Bathroom,Heating,Winter Insulation","Custom Builds,Electrical,Plumbing,Winter Outfitting","RVIA Certified",5,2-6 months
ks-2,Jayhawk Van Works,456 Massachusetts St,Lawrence,KS,66044,(555) 222-3333,info@jayhawkvanworks.com,https://jayhawkvanworks.com,38.9717,-95.2353,"Offers custom van conversions, including camper vans, wheelchair-accessible vehicles, and commercial vans.",4.6,70,"Transit,ProMaster",28000,90000,"Solar Power,Kitchen,Heating,Winter Insulation","Custom Builds,Accessibility Modifications,Electrical,Plumbing","RVIA Certified,ADA Compliant",6,2-5 months
ky-1,Kentucky Van Conversions,123 Capital Ave,Frankfort,KY,40601,(555) 111-2222,info@kentuckyvanconversions.com,https://kentuckyvanconversions.com,38.2009,-84.8733,"Specializes in custom van conversions, including Mercedes Sprinter, Ford Transit, and Ram ProMaster.",4.5,68,"Sprinter,Transit,ProMaster",32000,100000,"Solar Power,Kitchen,Bathroom,Heating,Winter Insulation","Custom Builds,Electrical,Plumbing,Winter Outfitting","RVIA Certified",6,2-6 months
ky-2,Bluegrass Van Works,456 Main St,Lexington,KY,40507,(555) 222-3333,info@bluegrassvanworks.com,https://bluegrassvanworks.com,38.0406,-84.5037,"Offers custom van conversions, including camper vans, wheelchair-accessible vehicles, and commercial vans.",4.6,72,"Transit,ProMaster",30000,95000,"Solar Power,Kitchen,Heating,Winter Insulation","Custom Builds,Accessibility Modifications,Electrical,Plumbing","RVIA Certified,ADA Compliant",5,2-5 months
la-1,Louisiana Van Conversions,123 Capitol Access Rd,Baton Rouge,LA,70802,(555) 111-2222,info@louisianavanconversions.com,https://louisianavanconversions.com,30.4515,-91.1871,"Provides custom van conversions, including luxury vans, wheelchair-accessible vehicles, and commercial vans.",4.5,65,"Sprinter,Transit,ProMaster",32000,100000,"Solar Power,Kitchen,Bathroom,Air Conditioning,Humidity Control","Custom Builds,Electrical,Plumbing,Climate Control","RVIA Certified",5,2-6 months
la-2,Bayou Van Works,456 Canal St,New Orleans,LA,70130,(555) 222-3333,info@bayouvanworks.com,https://bayouvanworks.com,29.9511,-90.0715,"Offers custom van conversions, including camper vans, wheelchair-accessible vehicles, and commercial vans.",4.6,70,"Transit,ProMaster",30000,95000,"Solar Power,Kitchen,Air Conditioning,Humidity Control","Custom Builds,Accessibility Modifications,Electrical,Plumbing","RVIA Certified,ADA Compliant",6,2-5 months
me-1,Maine Van Conversions,123 State St,Augusta,ME,04330,(555) 111-2222,info@mainevanconversions.com,https://mainevanconversions.com,44.3106,-69.7795,"Specializes in custom van conversions, including Mercedes Sprinter, Ford Transit, and Ram ProMaster.",4.6,70,"Sprinter,Transit,ProMaster",34000,105000,"Solar Power,Kitchen,Bathroom,Heating,Extreme Insulation","Custom Builds,Electrical,Plumbing,Winter Outfitting","RVIA Certified",6,3-7 months
me-2,Pine Tree Van Works,456 Congress St,Portland,ME,04101,(555) 222-3333,info@pinetreevanworks.com,https://pinetreevanworks.com,43.6591,-70.2568,"Offers custom van conversions, including camper vans, wheelchair-accessible vehicles, and commercial vans.",4.7,75,"Transit,ProMaster,Sprinter",36000,110000,"Solar Power,Kitchen,Bathroom,Heating,Extreme Insulation,Off-Grid Systems","Custom Builds,Winter Outfitting,Electrical,Plumbing,Off-Road Modifications","RVIA Certified,ASE Certified",7,3-8 months
md-1,Maryland Van Conversions,123 State Circle,Annapolis,MD,21401,(555) 111-2222,info@marylandvanconversions.com,https://marylandvanconversions.com,38.9784,-76.4922,"Provides custom van conversions, including luxury vans, wheelchair-accessible vehicles, and commercial vans.",4.6,72,"Sprinter,Transit,ProMaster",36000,110000,"Solar Power,Kitchen,Bathroom,Heating,Winter Insulation","Custom Builds,Electrical,Plumbing,Winter Outfitting","RVIA Certified",6,3-7 months
md-2,Chesapeake Van Works,456 Light St,Baltimore,MD,21202,(555) 222-3333,info@chesapeakevanworks.com,https://chesapeakevanworks.com,39.2866,-76.6105,"Offers custom van conversions, including camper vans, wheelchair-accessible vehicles, and commercial vans.",4.7,78,"Transit,ProMaster,Sprinter",38000,115000,"Solar Power,Kitchen,Bathroom,Heating,Winter Insulation,Luxury Finishes","Custom Builds,Luxury Interiors,Electrical,Plumbing,Accessibility Modifications","RVIA Certified,ADA Compliant",7,3-8 months
ma-1,Massachusetts Van Conversions,123 Boylston St,Boston,MA,02116,(555) 111-2222,info@massvanconversions.com,https://massvanconversions.com,42.3601,-71.0589,"Specializes in custom van conversions, including Mercedes Sprinter, Ford Transit, and Ram ProMaster.",4.7,80,"Sprinter,Transit,ProMaster",38000,115000,"Solar Power,Kitchen,Bathroom,Heating,Extreme Insulation","Custom Builds,Electrical,Plumbing,Winter Outfitting","RVIA Certified",7,3-7 months
ma-2,New England Van Works,456 Main St,Worcester,MA,01608,(555) 222-3333,info@newenglandvanworks.com,https://newenglandvanworks.com,42.2626,-71.8023,"Offers custom van conversions, including camper vans, wheelchair-accessible vehicles, and commercial vans.",4.6,75,"Transit,ProMaster,Sprinter",36000,110000,"Solar Power,Kitchen,Bathroom,Heating,Extreme Insulation,Off-Grid Systems","Custom Builds,Winter Outfitting,Electrical,Plumbing,Accessibility Modifications","RVIA Certified,ADA Compliant",6,3-8 months
mn-1,Minnesota Van Conversions,123 University Ave,St. Paul,MN,55155,(555) 111-2222,info@minnesotavanconversions.com,https://minnesotavanconversions.com,44.9537,-93.0900,"Specializes in custom van conversions, including Mercedes Sprinter, Ford Transit, and Ram ProMaster.",4.6,75,"Sprinter,Transit,ProMaster",36000,110000,"Solar Power,Kitchen,Bathroom,Heating,Extreme Insulation","Custom Builds,Electrical,Plumbing,Winter Outfitting","RVIA Certified",6,3-7 months
mn-2,North Star Van Works,456 Hennepin Ave,Minneapolis,MN,55401,(555) 222-3333,info@northstarvanworks.com,https://northstarvanworks.com,44.9778,-93.2650,"Offers custom van conversions, including camper vans, wheelchair-accessible vehicles, and commercial vans.",4.7,80,"Transit,ProMaster,Sprinter",38000,115000,"Solar Power,Kitchen,Bathroom,Heating,Extreme Insulation,Off-Grid Systems","Custom Builds,Winter Outfitting,Electrical,Plumbing,Off-Road Modifications","RVIA Certified,ASE Certified",7,3-8 months
ms-1,Mississippi Van Conversions,123 State St,Jackson,MS,39201,(555) 111-2222,info@mississippivanconversions.com,https://mississippivanconversions.com,32.2988,-90.1848,"Provides custom van conversions, including luxury vans, wheelchair-accessible vehicles, and commercial vans.",4.5,65,"Sprinter,Transit,ProMaster",32000,100000,"Solar Power,Kitchen,Bathroom,Air Conditioning,Humidity Control","Custom Builds,Electrical,Plumbing,Climate Control","RVIA Certified",5,2-6 months
ms-2,Magnolia Van Works,456 Beach Blvd,Gulfport,MS,39501,(555) 222-3333,info@magnoliavanworks.com,https://magnoliavanworks.com,30.3674,-89.0928,"Offers custom van conversions, including camper vans, wheelchair-accessible vehicles, and commercial vans.",4.6,70,"Transit,ProMaster",30000,95000,"Solar Power,Kitchen,Air Conditioning,Humidity Control","Custom Builds,Accessibility Modifications,Electrical,Plumbing","RVIA Certified,ADA Compliant",6,2-5 months
mo-1,Missouri Van Conversions,123 Capitol Ave,Jefferson City,MO,65101,(555) 111-2222,info@missourivanconversions.com,https://missourivanconversions.com,38.5767,-92.1735,"Specializes in custom van conversions, including Mercedes Sprinter, Ford Transit, and Ram ProMaster.",4.6,70,"Sprinter,Transit,ProMaster",34000,105000,"Solar Power,Kitchen,Bathroom,Heating,Winter Insulation","Custom Builds,Electrical,Plumbing,Winter Outfitting","RVIA Certified",6,3-7 months
mo-2,Gateway Van Works,456 Market St,St. Louis,MO,63101,(555) 222-3333,info@gatewayvanworks.com,https://gatewayvanworks.com,38.6270,-90.1994,"Offers custom van conversions, including camper vans, wheelchair-accessible vehicles, and commercial vans.",4.7,75,"Transit,ProMaster,Sprinter",36000,110000,"Solar Power,Kitchen,Bathroom,Heating,Winter Insulation,Luxury Finishes","Custom Builds,Luxury Interiors,Electrical,Plumbing,Accessibility Modifications","RVIA Certified,ADA Compliant",7,3-8 months
mt-1,Montana Van Conversions,123 Last Chance Gulch,Helena,MT,59601,(555) 111-2222,info@montanavanconversions.com,https://montanavanconversions.com,46.5891,-112.0391,"Provides custom van conversions, including luxury vans, wheelchair-accessible vehicles, and commercial vans.",4.7,72,"Sprinter,Transit,ProMaster",36000,110000,"Solar Power,Kitchen,Bathroom,Heating,Extreme Insulation,Off-Grid Systems","Custom Builds,Electrical,Plumbing,Winter Outfitting,Off-Road Modifications","RVIA Certified",6,3-7 months
mt-2,Big Sky Van Works,456 N 27th St,Billings,MT,59101,(555) 222-3333,info@bigskyvanworks.com,https://bigskyvanworks.com,45.7833,-108.5007,"Offers custom van conversions, including camper vans, wheelchair-accessible vehicles, and commercial vans.",4.8,78,"Transit,ProMaster,Sprinter",38000,115000,"Solar Power,Kitchen,Bathroom,Heating,Extreme Insulation,Off-Grid Systems,Off-Road Capabilities","Custom Builds,Off-Road Outfitting,Electrical,Plumbing,Winter Outfitting","RVIA Certified,ASE Certified",7,3-8 months
ca-1,Adventure Wagon,123 Adventure Way,San Diego,CA,92101,(555) 111-2222,info@adventurewagon.com,https://adventurewagon.com,32.7157,-117.1611,"Specializes in custom van conversions, including Mercedes Sprinter, Ford Transit, and Ram ProMaster, with a focus on adventure and outdoor enthusiasts.",4.8,105,"Sprinter,Transit,ProMaster",40000,120000,"Solar Power,Kitchen,Bathroom,Heating,Off-Grid Systems,Outdoor Shower","Custom Builds,Adventure Outfitting,Electrical,Plumbing","RVIA Certified,ASE Certified",7,4-8 months
